2022-11-14 00:21:30.156 | INFO     | __main__:delete_actual_part_from_bq:522 - c_83 | Удаление строк из таблицы stocks | Выполнено запросов: 1 из 1
2022-11-14 00:21:30.156 | SUCCESS  | __main__:delete_actual_part_from_bq:524 - c_83 | Удалены записи из таблицы focus-invention-343210.METRIX_v4.c_83_stocks по id, которые будут заменены новыми данными
2022-11-14 00:21:34.938 | SUCCESS  | __main__:load_dataframe_to_bq:492 - c_83 | Таблица stocks записана в BQ
2022-11-14 00:21:35.132 | SUCCESS  | __main__:fix_result:125 - В таблицу клиентов записан результат выгрузки
2022-11-14 00:21:35.133 | INFO     | __main__:load_from_wb:455 - c_83 | Началась загрузка таблицы orders из API WB начиная с 2022-10-01 00:00:00Z
2022-11-14 00:21:36.719 | SUCCESS  | __main__:load_from_wb:481 - c_83 | Загружена таблица orders из API WB начиная с 2022-10-01 00:00:00Z
2022-11-14 00:21:39.294 | SUCCESS  | __main__:delete_actual_part_from_bq:524 - c_83 | Удалены записи из таблицы focus-invention-343210.METRIX_v4.c_83_orders начиная с 2022-10-01 00:00:00
2022-11-14 00:21:46.547 | SUCCESS  | __main__:load_dataframe_to_bq:492 - c_83 | Таблица orders записана в BQ
2022-11-14 00:21:46.743 | SUCCESS  | __main__:fix_result:125 - В таблицу клиентов записан результат выгрузки
2022-11-14 00:21:46.743 | INFO     | __main__:load_from_wb:455 - c_83 | Началась загрузка таблицы sales из API WB начиная с 2022-10-01 00:00:00Z
2022-11-14 00:21:48.003 | SUCCESS  | __main__:load_from_wb:481 - c_83 | Загружена таблица sales из API WB начиная с 2022-10-01 00:00:00Z
2022-11-14 00:21:50.616 | SUCCESS  | __main__:delete_actual_part_from_bq:524 - c_83 | Удалены записи из таблицы focus-invention-343210.METRIX_v4.c_83_sales начиная с 2022-10-01 00:00:00
2022-11-14 00:21:53.758 | SUCCESS  | __main__:load_dataframe_to_bq:492 - c_83 | Таблица sales записана в BQ
2022-11-14 00:21:53.939 | SUCCESS  | __main__:fix_result:125 - В таблицу клиентов записан результат выгрузки
2022-11-14 00:21:53.940 | INFO     | __main__:make_main_table:184 - c_83 | Началось формирование таблицы main
2022-11-14 00:21:53.952 | DEBUG    | __main__:make_main_table:198 - MAIN LENGTH BEGINNING: 1111
2022-11-14 00:21:54.162 | DEBUG    | __main__:make_main_table:377 - MAIN LENGTH ENGING: 1111
2022-11-14 00:21:54.163 | SUCCESS  | __main__:make_main_table:381 - c_83 | Таблица main сформирована
2022-11-14 00:21:54.163 | INFO     | __main__:delete_actual_part_from_bq:514 - c_83 | Началось удаление строк из таблицы main | Выполнено запросов: 0 из 1
2022-11-14 00:21:57.142 | INFO     | __main__:delete_actual_part_from_bq:522 - c_83 | Удаление строк из таблицы main | Выполнено запросов: 1 из 1
2022-11-14 00:21:57.142 | SUCCESS  | __main__:delete_actual_part_from_bq:524 - c_83 | Удалены записи из таблицы focus-invention-343210.METRIX_v4.c_83_main по id, которые будут заменены новыми данными
2022-11-14 00:22:03.588 | SUCCESS  | __main__:load_dataframe_to_bq:492 - c_83 | Таблица main записана в BQ
2022-11-14 00:22:03.785 | SUCCESS  | __main__:fix_result:125 - В таблицу клиентов записан результат выгрузки
2022-11-14 00:22:03.785 | SUCCESS  | __main__:main_load:72 - c_83 | Обработка клиента завершилась
2022-11-14 00:22:04.755 | SUCCESS  | __main__:create_bq_tables_if_needed:535 - c_7 | Все таблицы созданы в BQ
2022-11-14 00:22:04.755 | INFO     | __main__:main_load:40 - c_7 | Обработка началась
2022-11-14 00:22:06.012 | INFO     | __main__:clients_first_load:952 - c_7 | Сценарий | Первичная выгрузка: False
2022-11-14 00:22:06.014 | INFO     | __main__:check_if_tables_must_be_updated:724 - c_7 | Сценарий | Необходима выгрузка реализации из WB: False
2022-11-14 00:22:06.014 | INFO     | __main__:check_if_tables_must_be_updated:731 - c_7 | Сценарий | Необходима выгрузка склада из WB: True
2022-11-14 00:22:06.015 | INFO     | __main__:get_actual_part_start_date:968 - c_7 | Начинаем выгрузку с даты: 2022-10-01 00:00:00
2022-11-14 00:22:10.157 | INFO     | __main__:load_report_from_bq:428 - c_7 | Получение таблицы report из BQ | Выполнено запросов: 1 из 1
2022-11-14 00:22:10.381 | SUCCESS  | __main__:load_report_from_bq:430 - c_7 | Таблица report получена из BQ
